detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,feature_set,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_liao_time_lr,lambda_sky_log_overlap,lambda_amp_time_lr,lambda_raw_snr_ratio,lambda_waveform_reciprocal_rank,lambda_waveform_margin,lambda_sky_norm_sep,val_selected_r@10,train_pairs,train_positive,fit_predict_elapsed_s
ET3,noisy,stage5_reranker_model_compare,logistic_regression,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.0023333333333333335,0.003,0.005666666666666667,0.013,0.02033333333333333,0.23933333333333334,950.5,90,0.019333333333333334,450,0.20133333333333334,900,0.484,,,,,,,,,185969.0,5999.0,6.812939130701125
ET3,noisy,stage5_reranker_model_compare,logistic_regression,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.0011666666666666668,0.0016666666666666668,0.0035,0.007833333333333333,0.012166666666666666,0.13733333333333334,1560.25,90,0.011666666666666667,450,0.11466666666666667,900,0.3128333333333333,,,,,,,,,185969.0,5999.0,6.812939130701125
ET3,noisy,stage5_reranker_model_compare,hgb,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8185,0.8995,0.9186666666666666,0.9341666666666667,0.9418333333333333,0.9593333333333334,1.0,90,0.9406666666666667,450,0.9568333333333333,900,0.9708333333333333,,,,,,,,,185969.0,5999.0,354.0860965382308
ET3,noisy,stage5_reranker_model_compare,hgb,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.834,0.9336666666666666,0.9523333333333334,0.9636666666666667,0.9693333333333334,0.976,1.0,90,0.9686666666666667,450,0.9743333333333334,900,0.9796666666666667,,,,,,,,,185969.0,5999.0,354.0860965382308
ET3,noisy,stage5_reranker_model_compare,hgb,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.803,0.8653333333333333,0.885,0.9046666666666666,0.9143333333333333,0.9426666666666667,1.0,90,0.9126666666666666,450,0.9393333333333334,900,0.962,,,,,,,,,185969.0,5999.0,354.0860965382308
ET3,noisy,stage5_reranker_model_compare,hgb,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8185,0.8995,0.9186666666666667,0.9341666666666666,0.9418333333333333,0.9593333333333334,1.0,90,0.9406666666666667,450,0.9568333333333334,900,0.9708333333333333,,,,,,,,,185969.0,5999.0,354.0860965382308
ET3,noisy,stage5_reranker_model_compare,mlp_tabular,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8301666666666667,0.9516666666666667,0.9761666666666666,0.9821666666666666,0.9835,0.9845,1.0,90,0.9831666666666666,450,0.9841666666666666,900,0.986,,,,,,,,,185969.0,5999.0,45.7651049522683
ET3,noisy,stage5_reranker_model_compare,mlp_tabular,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.8726666666666667,0.9746666666666667,0.989,0.9926666666666667,0.9933333333333333,0.9936666666666667,1.0,90,0.993,450,0.9936666666666667,900,0.994,,,,,,,,,185969.0,5999.0,45.7651049522683
ET3,noisy,stage5_reranker_model_compare,mlp_tabular,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.7876666666666666,0.9286666666666666,0.9633333333333334,0.9716666666666667,0.9736666666666667,0.9753333333333334,1.0,90,0.9733333333333334,450,0.9746666666666667,900,0.978,,,,,,,,,185969.0,5999.0,45.7651049522683
ET3,noisy,stage5_reranker_model_compare,mlp_tabular,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8301666666666667,0.9516666666666667,0.9761666666666666,0.9821666666666666,0.9835,0.9845,1.0,90,0.9831666666666667,450,0.9841666666666666,900,0.986,,,,,,,,,185969.0,5999.0,45.7651049522683
ET3,noisy,stage5_reranker_model_compare,lightgbm,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8548333333333333,0.9313333333333333,0.9396666666666667,0.9466666666666667,0.95,0.9631666666666666,1.0,90,0.9498333333333333,450,0.962,900,0.9735,,,,,,,,,185969.0,5999.0,146.82112320233136
ET3,noisy,stage5_reranker_model_compare,lightgbm,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.8816666666666667,0.9513333333333334,0.957,0.96,0.9606666666666667,0.9666666666666667,1.0,90,0.9606666666666667,450,0.9663333333333334,900,0.972,,,,,,,,,185969.0,5999.0,146.82112320233136
ET3,noisy,stage5_reranker_model_compare,lightgbm,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,3000,0.828,0.9113333333333333,0.9223333333333333,0.9333333333333333,0.9393333333333334,0.9596666666666667,1.0,90,0.939,450,0.9576666666666667,900,0.975,,,,,,,,,185969.0,5999.0,146.82112320233136
ET3,noisy,stage5_reranker_model_compare,lightgbm,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,waveform+waveform_reciprocal_rank+waveform_margin+liao_time_lr+sky_norm_sep+sky_log_overlap+amp_time_lr,6000,0.8548333333333333,0.9313333333333333,0.9396666666666667,0.9466666666666667,0.95,0.9631666666666667,1.0,90,0.9498333333333333,450,0.962,900,0.9735,,,,,,,,,185969.0,5999.0,146.82112320233136
