event_i,event_j,delta_t_days,ang_sep_deg,sky_norm_sep,sky_log_overlap,sky_step_weight,time_score,combined
GW150914,GW190521,1344.7164930555555,124.19722288616876,13.24396800994873,-85.91943359375,-0.5,-1.8056234121322632,-1.5590324492885839
GW150914,GW190521_074359,1344.9119791666667,130.2339763010578,18.477951049804688,-168.36427307128906,-0.5,-1.8056234121322632,-2.7599950944934286
GW150914,GW190602_175927,1357.3393819444434,45.16509033957288,5.4587016105651855,-12.866361618041992,-0.5,-1.8056234121322632,-0.4948783904503944
GW150914,GW190620_030421,1374.7177881944428,127.17253525089636,5.439737319946289,-14.840421676635742,-0.5,-2.876758098602295,-1.4226373481555865
GW150914,GW190630_185205,1385.3759340277757,97.49008357096253,10.669991493225098,-55.090415954589844,-0.5,-2.876758098602295,-2.008953482723364
GW150914,GW190701_203306,1386.4460891203694,76.72451898456123,16.950698852539062,-140.42433166503906,-0.5,-2.876758098602295,-3.2520009043297624
GW150914,GW190706_222641,1391.5249641203686,105.737017899376,7.5361857414245605,-27.420948028564453,-0.5,-2.876758098602295,-1.6058961464190935
GW150914,GW190707_093326,1391.9879826388867,78.13754168986429,7.918870449066162,-29.674121856689453,-0.5,-2.876758098602295,-1.638717819890464
GW150914,GW190708_232457,1393.5654270833318,95.41207364806702,3.416390895843506,-6.236527442932129,-0.5,-2.876758098602295,-1.2973056033980934
GW150914,GW190720_000836,1404.5957442129625,146.63162125285763,24.74643898010254,-303.4930114746094,-0.5,-2.876758098602295,-5.62739995047039
GW150914,GW190725_174728,1410.331064814815,105.6196957400027,8.187424659729004,-32.37287521362305,-0.5,-2.876758098602295,-1.6780301891162104
GW150914,GW190727_060333,1411.8422395833334,28.851661620239323,4.360943794250488,-7.029297351837158,-0.5,-2.876758098602295,-1.308853773700454
GW150914,GW190728_064510,1412.8711354166655,111.61047515158839,16.6319522857666,-135.85972595214844,-0.5,-2.876758098602295,-3.185508920283099
GW150914,GW190803_022701,1418.6918680555539,107.24717272486582,11.513379096984863,-64.4836196899414,-0.5,-2.876758098602295,-2.145782990506312
GW150914,GW190828_063405,1443.8634409722217,50.262494668099244,7.860199928283691,-28.343690872192383,-0.5,-2.876758098602295,-1.619337614597695
GW150914,GW190828_065509,1443.8780717592576,31.94286521970911,4.179681301116943,-6.5437188148498535,-0.5,-2.876758098602295,-1.3017804178915213
GW150914,GW190910_112807,1457.0676261574058,68.92178600881952,2.6347765922546387,-3.7407948970794678,0.10000000149011612,-2.876758098602295,-1.2609506104235775
GW150914,GW190915_235702,1462.587710648146,123.51368487479056,17.744356155395508,-155.05307006835938,-0.5,-2.876758098602295,-3.465095726033522
GW150914,GW190924_021846,1470.6861388888872,77.6163572750573,11.785764694213867,-66.96331787109375,-0.5,-2.876758098602295,-2.1819044130940495
GW150914,GW190925_232845,1472.5680636574052,80.28992554263208,5.440916538238525,-13.926602363586426,-0.5,-2.876758098602295,-1.409325867820447
GW150914,GW190929_012149,1475.6465856481482,61.500607890682254,5.337593078613281,-12.874917984008789,-0.5,-2.876758098602295,-1.3940061260097754
