detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
LIGO,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,3000,0.07233333333333333,0.14833333333333334,0.186,0.31066666666666665,0.38133333333333336,0.6153333333333333,254.0,90,0.37066666666666664,450,0.5963333333333334,900,0.7336666666666667,,0.16216666666666665,4.0
LIGO,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,3000,0.05533333333333333,0.112,0.14666666666666667,0.22666666666666666,0.2836666666666667,0.547,406.5,90,0.2733333333333333,450,0.524,900,0.7,,0.16216666666666665,4.0
LIGO,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,199.73359647740486,500.0,6000,0.06383333333333333,0.13016666666666668,0.16633333333333333,0.26866666666666666,0.3325,0.5811666666666666,330.25,90,0.32199999999999995,450,0.5601666666666667,900,0.7168333333333333,,0.16216666666666665,4.0
LIGO,noisy,stage2_observed_sky,a90_100_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,6000,0.14116666666666666,0.25066666666666665,0.31516666666666665,0.51,0.5828333333333333,0.737,46.0,90,0.573,450,0.7255,900,0.803,0.25,0.30583333333333335,
LIGO,noisy,stage2_observed_sky,a90_100_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,3000,0.16666666666666666,0.289,0.3586666666666667,0.556,0.6223333333333333,0.7603333333333333,31.0,90,0.6136666666666667,450,0.7523333333333333,900,0.8183333333333334,0.25,0.30583333333333335,
LIGO,noisy,stage2_observed_sky,a90_100_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,3000,0.11566666666666667,0.21233333333333335,0.27166666666666667,0.464,0.5433333333333333,0.7136666666666667,68.0,90,0.5323333333333333,450,0.6986666666666667,900,0.7876666666666666,0.25,0.30583333333333335,
LIGO,noisy,stage2_observed_sky,a90_100_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,6000,0.14116666666666666,0.25066666666666665,0.3151666666666667,0.51,0.5828333333333333,0.737,49.5,90,0.573,450,0.7255,900,0.8029999999999999,0.25,0.30583333333333335,
LIGO,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,6000,0.064,0.13133333333333333,0.16933333333333334,0.27516666666666667,0.341,0.61,290.5,90,0.33066666666666666,450,0.5886666666666667,900,0.7505,,0.163,4.0
LIGO,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,3000,0.07366666666666667,0.148,0.191,0.319,0.38966666666666666,0.6436666666666667,225.5,90,0.38,450,0.6216666666666667,900,0.7683333333333333,,0.163,4.0
LIGO,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,3000,0.05433333333333333,0.11466666666666667,0.14766666666666667,0.23133333333333334,0.29233333333333333,0.5763333333333334,360.0,90,0.2813333333333333,450,0.5556666666666666,900,0.7326666666666667,,0.163,4.0
LIGO,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,402.3115618027993,500.0,6000,0.064,0.13133333333333333,0.16933333333333334,0.27516666666666667,0.34099999999999997,0.6100000000000001,292.75,90,0.33066666666666666,450,0.5886666666666667,900,0.7505,,0.163,4.0
LIGO,noisy,stage2_observed_sky,a90_200_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,6000,0.11533333333333333,0.2265,0.2826666666666667,0.4633333333333333,0.5323333333333333,0.6948333333333333,71.0,90,0.5226666666666666,450,0.6843333333333333,900,0.7685,0.25,0.277,
LIGO,noisy,stage2_observed_sky,a90_200_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,3000,0.132,0.262,0.325,0.5106666666666667,0.5783333333333334,0.7273333333333334,45.0,90,0.5683333333333334,450,0.72,900,0.791,0.25,0.277,
LIGO,noisy,stage2_observed_sky,a90_200_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,3000,0.09866666666666667,0.191,0.24033333333333334,0.416,0.48633333333333334,0.6623333333333333,117.5,90,0.477,450,0.6486666666666666,900,0.746,0.25,0.277,
LIGO,noisy,stage2_observed_sky,a90_200_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,6000,0.11533333333333334,0.2265,0.2826666666666667,0.4633333333333334,0.5323333333333333,0.6948333333333334,81.25,90,0.5226666666666666,450,0.6843333333333332,900,0.7685,0.25,0.277,
LIGO,noisy,stage2_observed_sky,a90_200_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,6000,0.06283333333333334,0.12983333333333333,0.16883333333333334,0.283,0.35333333333333333,0.6355,258.0,90,0.3415,450,0.6125,900,0.7806666666666666,,0.16433333333333333,4.0
LIGO,noisy,stage2_observed_sky,a90_200_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,3000,0.07366666666666667,0.14733333333333334,0.19133333333333333,0.32866666666666666,0.4,0.6703333333333333,198.5,90,0.3903333333333333,450,0.6503333333333333,900,0.7943333333333333,,0.16433333333333333,4.0
LIGO,noisy,stage2_observed_sky,a90_200_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,3000,0.052,0.11233333333333333,0.14633333333333334,0.23733333333333334,0.30666666666666664,0.6006666666666667,324.5,90,0.2926666666666667,450,0.5746666666666667,900,0.767,,0.16433333333333333,4.0
LIGO,noisy,stage2_observed_sky,a90_200_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 200 deg2,200.0,500.0,500.0,6000,0.06283333333333334,0.12983333333333333,0.16883333333333334,0.28300000000000003,0.35333333333333333,0.6355,261.5,90,0.3415,450,0.6125,900,0.7806666666666666,,0.16433333333333333,4.0
