event_id,source_id,kind,geocent_time,ra,dec,sky_area_90_deg2,network_snr,family,tag,pair_id,source_index
4691,1691,PM,1421143311.175671,3.9247459669289904,-0.1944778439322745,2000.0,2.286023020896735,PM,L1,1691,9883
4692,1692,PM,1230665908.670578,2.947440918370932,-0.9852376800663896,183.18504883743057,8.866173665176719,PM,L1,1692,4802
4693,1693,PM,1330855584.986183,3.2256887228437807,1.0530877585109013,161.49478503997807,9.44282616368977,PM,L1,1693,3627
4694,1694,PM,1412379316.6766646,2.88081064349093,-0.3076328420679451,994.0505359189738,3.806072127213568,PM,L1,1694,8686
4695,1695,PM,1199076807.9143553,6.020134862985442,-0.2471372748933636,1952.9830375991885,2.715388725223865,PM,L1,1695,2518
4696,1696,PM,1161850883.258351,1.2335406478168087,0.7260042215407364,2000.0,2.02919547158379,PM,L1,1696,7202
4697,1697,PM,1316699855.8113842,1.036442781322393,0.5639636713464297,29.73600025496986,22.005942312438645,PM,L1,1697,7152
4698,1698,PM,1372592387.9475298,3.241618444257061,-0.0262662899734617,287.90232029544615,7.072267248602715,PM,L1,1698,4913
4699,1699,PM,1320705803.0570323,0.9143103555390422,0.0764772172230072,105.17483675243098,11.701063137402608,PM,L1,1699,2829
4700,1700,PM,1126989244.190639,3.082385936667676,0.283704475999631,442.83692944829704,5.702421699556553,PM,L1,1700,9506
4701,1701,PM,1290469985.9813614,2.1328236585991256,0.0134933390647564,162.89402466027443,9.402182336891135,PM,L1,1701,5237
4702,1702,PM,1268544148.048657,0.1875991973440642,0.4483523571450987,127.86334010466081,10.6122683536844,PM,L1,1702,3672
4703,1703,PM,1147699701.5272577,4.738941835528716,-0.8650174278831899,45.323741228261675,17.824541625652763,PM,L1,1703,9197
4704,1704,PM,1212043160.585805,1.4528977345089935,1.0118112375862671,2000.0,1.6324533373186854,PM,L1,1704,8046
4705,1705,PM,1323815268.856475,4.114273860193275,0.7887655564467102,70.87868138450287,14.253562728002528,PM,L1,1705,7539
4706,1706,PM,1212756548.775319,1.1601555741734368,-0.8305041205400823,214.88238411378185,8.186171505112384,PM,L1,1706,8121
4707,1707,PM,1365590824.819312,4.535136132104014,-1.236170149679599,193.99209236368432,8.615673496987345,PM,L1,1707,3726
4708,1708,PM,1403541743.941009,4.023511191372975,-0.4879713919571605,285.9538277972901,7.096321594568987,PM,L1,1708,5070
4709,1709,PM,1232176441.5677133,6.192674745856216,-0.7730548996032381,180.79964764906663,8.924470455834005,PM,L1,1709,2156
4710,1710,PM,1144080828.5434394,4.899464774993068,1.0420130193869352,1066.529780323934,3.6744703958710807,PM,L1,1710,669
4711,1711,PM,1315176456.729663,1.697678808997542,-0.0567527128866606,1153.368011853897,3.5334365322908896,PM,L1,1711,7943
4712,1712,PM,1225869949.3999324,5.7412486526069815,0.1854402614649505,2000.0,2.101100298742462,PM,L1,1712,5073
4713,1713,PM,1431153534.6782925,1.508302188676008,-0.0889872514857006,172.74524222527788,9.130156012351266,PM,L1,1713,781
4714,1714,PM,1387390890.901059,3.4364628887812065,0.7653940372658038,1466.495356493147,3.133580817412714,PM,L1,1714,4292
