detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,liao_label,liao_delay_count,sky_label,sky_scenario,true_sky_a90_deg2,weight_grid,deployment_note,component_keys,val_selected_r@1,val_selected_r@5,val_selected_r@10,lambda_waveform,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_raw_time,lambda_liao_time_lr,lambda_true_sky_sep,lambda_true_sky_step,lambda_true_sky_log_overlap
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_sep,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_sep",0.243,0.4068333333333333,0.49816666666666665,1.0,6000,0.248,0.41133333333333333,0.5083333333333333,0.7685,0.8843333333333334,0.9995,10.5,90,0.8668333333333333,450,0.9988333333333334,900,1.0,,,4.0,,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_step,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_step",0.973,1.0,1.0,1.0,6000,0.9713333333333334,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,0.25,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_step,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_step",0.973,1.0,1.0,1.0,3000,0.9703333333333334,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,0.25,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_step,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_step",0.973,1.0,1.0,1.0,3000,0.9723333333333334,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,0.25,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_step,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_step",0.973,1.0,1.0,1.0,6000,0.9713333333333334,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,,,,0.25,
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_log_overlap,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_log_overlap",0.06683333333333333,0.13366666666666666,0.169,1.0,6000,0.061,0.13283333333333333,0.1725,0.3085,0.39266666666666666,0.7011666666666667,189.0,90,0.38033333333333336,450,0.6753333333333333,900,0.8448333333333333,,,,,4.0
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_log_overlap,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_log_overlap",0.06683333333333333,0.13366666666666666,0.169,1.0,3000,0.06866666666666667,0.14933333333333335,0.196,0.35233333333333333,0.44266666666666665,0.7293333333333333,146.0,90,0.42833333333333334,450,0.7083333333333334,900,0.8556666666666667,,,,,4.0
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_log_overlap,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_log_overlap",0.06683333333333333,0.13366666666666666,0.169,1.0,3000,0.05333333333333334,0.11633333333333333,0.149,0.26466666666666666,0.3426666666666667,0.673,238.5,90,0.3323333333333333,450,0.6423333333333333,900,0.834,,,,,4.0
LIGO,noisy,stage8_true_sky_oracle_combinations,waveform_plus_true_sky_log_overlap,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"waveform,true_sky_log_overlap",0.06683333333333333,0.13366666666666666,0.169,1.0,6000,0.061,0.13283333333333333,0.1725,0.3085,0.39266666666666666,0.7011666666666667,192.25,90,0.3803333333333333,450,0.6753333333333333,900,0.8448333333333333,,,,,4.0
LIGO,noisy,stage8_true_sky_oracle_combinations,raw_time_plus_true_sky_step,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,GW-LMC 2.5PLUS BBH Any_Detected_SNR1,4498,oracle true ra/dec fixed A90,TRUE_SKY_ORACLE,1.0,"[0.25, 0.5, 1.0, 2.0, 4.0]",upper_bound_only_not_deployable,"raw_time,true_sky_step",0.9985,1.0,1.0,,6000,0.9978333333333333,1.0,1.0,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.25,,,0.25,
