detector,data_mode,stage,variant,subset,catalog,candidate_kind,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,observed_sky_label,a90_ref_deg2,test_a90_median_deg2,test_a90_p90_deg2,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,lambda_sky_step,val_selected_r@10,lambda_sky_log_overlap
ET3,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,3000,0.895,0.959,0.978,0.9933333333333333,0.9946666666666667,0.998,1.0,90,0.9946666666666667,450,0.9976666666666667,900,0.9993333333333333,,0.9631666666666666,4.0
ET3,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,3000,0.8236666666666667,0.917,0.947,0.9806666666666667,0.9876666666666667,0.998,1.0,90,0.9863333333333333,450,0.998,900,0.9993333333333333,,0.9631666666666666,4.0
ET3,noisy,stage2_observed_sky,a90_50_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 50 deg2,50.0,20.0,20.0,6000,0.8593333333333333,0.938,0.9624999999999999,0.987,0.9911666666666668,0.998,1.0,90,0.9904999999999999,450,0.9978333333333333,900,0.9993333333333333,,0.9631666666666666,4.0
ET3,noisy,stage2_observed_sky,a90_100_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,6000,0.9055,0.9843333333333333,0.9943333333333333,0.9976666666666667,0.9981666666666666,0.9998333333333334,1.0,90,0.998,450,0.9998333333333334,900,0.9998333333333334,0.25,0.993,
ET3,noisy,stage2_observed_sky,a90_100_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,3000,0.916,0.99,0.9966666666666667,0.9983333333333333,0.9983333333333333,0.9996666666666667,1.0,90,0.9983333333333333,450,0.9996666666666667,900,0.9996666666666667,0.25,0.993,
ET3,noisy,stage2_observed_sky,a90_100_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,3000,0.895,0.9786666666666667,0.992,0.997,0.998,1.0,1.0,90,0.9976666666666667,450,1.0,900,1.0,0.25,0.993,
ET3,noisy,stage2_observed_sky,a90_100_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,6000,0.9055,0.9843333333333333,0.9943333333333333,0.9976666666666667,0.9981666666666666,0.9998333333333334,1.0,90,0.998,450,0.9998333333333334,900,0.9998333333333334,0.25,0.993,
ET3,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,6000,0.8571666666666666,0.9363333333333334,0.9601666666666666,0.9868333333333333,0.9905,0.998,1.0,90,0.9898333333333333,450,0.9975,900,0.9991666666666666,,0.962,4.0
ET3,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,3000,0.893,0.9573333333333334,0.9763333333333334,0.9933333333333333,0.9946666666666667,0.998,1.0,90,0.9946666666666667,450,0.9973333333333333,900,0.9993333333333333,,0.962,4.0
ET3,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,3000,0.8213333333333334,0.9153333333333333,0.944,0.9803333333333333,0.9863333333333333,0.998,1.0,90,0.985,450,0.9976666666666667,900,0.999,,0.962,4.0
ET3,noisy,stage2_observed_sky,a90_100_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 100 deg2,100.0,20.0,27.38374511852442,6000,0.8571666666666666,0.9363333333333334,0.9601666666666666,0.9868333333333332,0.9904999999999999,0.998,1.0,90,0.9898333333333333,450,0.9975,900,0.9991666666666666,,0.962,4.0
ET3,noisy,stage2_observed_sky,a90_300_step_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,6000,0.9116666666666666,0.9803333333333333,0.989,0.9955,0.9963333333333333,0.9993333333333333,1.0,90,0.9963333333333333,450,0.9993333333333333,900,0.9993333333333333,0.25,0.9875,
ET3,noisy,stage2_observed_sky,a90_300_step_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,3000,0.9346666666666666,0.9866666666666667,0.9946666666666667,0.997,0.9976666666666667,0.9993333333333333,1.0,90,0.9976666666666667,450,0.9993333333333333,900,0.9993333333333333,0.25,0.9875,
ET3,noisy,stage2_observed_sky,a90_300_step_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,3000,0.8886666666666667,0.974,0.9833333333333333,0.994,0.995,0.9993333333333333,1.0,90,0.995,450,0.9993333333333333,900,0.9993333333333333,0.25,0.9875,
ET3,noisy,stage2_observed_sky,a90_300_step_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,6000,0.9116666666666666,0.9803333333333333,0.989,0.9955,0.9963333333333333,0.9993333333333333,1.0,90,0.9963333333333333,450,0.9993333333333333,900,0.9993333333333333,0.25,0.9875,
ET3,noisy,stage2_observed_sky,a90_300_gaussian_log_overlap_val_selected,overall,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,6000,0.8513333333333334,0.9335,0.9576666666666667,0.9853333333333333,0.99,0.9973333333333333,1.0,90,0.9891666666666666,450,0.9973333333333333,900,0.9988333333333334,,0.9593333333333334,4.0
ET3,noisy,stage2_observed_sky,a90_300_gaussian_log_overlap_val_selected,SIS,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,3000,0.8906666666666667,0.955,0.9753333333333334,0.9926666666666667,0.9946666666666667,0.9973333333333333,1.0,90,0.9946666666666667,450,0.9973333333333333,900,0.999,,0.9593333333333334,4.0
ET3,noisy,stage2_observed_sky,a90_300_gaussian_log_overlap_val_selected,PM,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,3000,0.812,0.912,0.94,0.978,0.9853333333333333,0.9973333333333333,1.0,90,0.9836666666666667,450,0.9973333333333333,900,0.9986666666666667,,0.9593333333333334,4.0
ET3,noisy,stage2_observed_sky,a90_300_gaussian_log_overlap_val_selected,macro,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,A90 sweep 300 deg2,300.0,20.0,81.76903651501712,6000,0.8513333333333334,0.9335,0.9576666666666667,0.9853333333333334,0.99,0.9973333333333333,1.0,90,0.9891666666666667,450,0.9973333333333333,900,0.9988333333333334,,0.9593333333333334,4.0
