detector,data_mode,family,seed,target_lensed_event_fraction,val_auc_sampled,full_waveform_r@1,full_waveform_r@5,full_waveform_r@10,test_pair_count,test_unlensed_count,test_catalog_size,test_lensed_event_fraction,sub_waveform_r@1,sub_waveform_r@5,sub_waveform_r@10,sub_waveform_r@50,sub_waveform_median_rank,valid,rerank_r@1,rerank_r@5,rerank_r@10,rerank_r@50,rerank_median_rank
LIGO,pure,PM,5,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9457831325301205,0.9698795180722891,0.9819277108433735,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,6,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9819277108433735,1.0,1.0,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,7,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9457831325301205,0.9698795180722891,0.9879518072289156,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,pure,PM,8,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9819277108433735,0.9879518072289156,0.9939759036144579,1.0,1.0,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,pure,PM,9,0.1,1.0,0.9546666666666667,0.9843333333333333,0.9883333333333333,83,1500,1666,0.09963985594237695,0.9578313253012049,0.9939759036144579,1.0,1.0,1.0,166,1.0,1.0,1.0,1.0,1.0
LIGO,noisy,SIS,0,0.1,0.9999828712440122,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.04819277108433735,0.0963855421686747,0.0963855421686747,0.1566265060240964,497.0,166,0.4939759036144578,0.8614457831325302,0.9457831325301205,0.9819277108433735,2.0
LIGO,noisy,SIS,1,0.1,0.9998697561329656,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.05421686746987952,0.0963855421686747,0.10843373493975904,0.1566265060240964,537.0,166,0.4397590361445783,0.8192771084337349,0.9096385542168675,0.9759036144578314,2.0
LIGO,noisy,SIS,2,0.1,0.9998144505733779,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.0783132530120482,0.10240963855421686,0.1144578313253012,0.18072289156626506,425.5,166,0.4939759036144578,0.8012048192771084,0.9216867469879518,0.9879518072289156,2.0
LIGO,noisy,SIS,3,0.1,0.9998566555378139,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.030120481927710843,0.0783132530120482,0.1144578313253012,0.20481927710843373,520.0,166,0.5180722891566265,0.8554216867469879,0.9156626506024096,0.9457831325301205,1.0
LIGO,noisy,SIS,4,0.1,0.9994396138771955,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.14457831325301204,572.0,166,0.6506024096385542,0.8373493975903614,0.9096385542168675,0.9518072289156626,1.0
LIGO,noisy,SIS,5,0.1,0.9998925823777035,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.03614457831325301,0.06626506024096386,0.09036144578313253,0.15060240963855423,526.5,166,0.4397590361445783,0.8012048192771084,0.9216867469879518,0.9698795180722891,2.0
LIGO,noisy,SIS,6,0.1,0.9998100958049065,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.03614457831325301,0.0963855421686747,0.13253012048192772,0.2289156626506024,518.0,166,0.4939759036144578,0.8614457831325302,0.9698795180722891,0.9759036144578314,2.0
LIGO,noisy,SIS,7,0.1,0.9997964145739584,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.04216867469879518,0.0963855421686747,0.13253012048192772,0.24096385542168675,412.0,166,0.4879518072289157,0.8554216867469879,0.9337349397590361,0.9397590361445783,2.0
LIGO,noisy,SIS,8,0.1,0.9935767165045726,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.05421686746987952,0.12650602409638553,0.15060240963855423,0.21686746987951808,440.0,166,0.4759036144578313,0.8373493975903614,0.9036144578313253,0.9578313253012049,2.0
LIGO,noisy,SIS,9,0.1,0.9996923718972274,0.010333333333333333,0.024333333333333332,0.04,83,1500,1666,0.09963985594237695,0.03614457831325301,0.10240963855421686,0.12048192771084337,0.18072289156626506,576.0,166,0.5,0.8493975903614458,0.9578313253012049,0.9819277108433735,1.5
LIGO,noisy,PM,0,0.1,0.9999999999999999,0.006666666666666667,0.017,0.028333333333333332,83,1500,1666,0.09963985594237695,0.024096385542168676,0.05421686746987952,0.09036144578313253,0.1566265060240964,508.0,166,0.9939759036144579,1.0,1.0,1.0,1.0
LIGO,noisy,PM,1,0.1,1.0,0.006666666666666667,0.017,0.028333333333333332,83,1500,1666,0.09963985594237695,0.024096385542168676,0.04819277108433735,0.060240963855421686,0.09036144578313253,740.5,166,0.9578313253012049,0.9939759036144579,0.9939759036144579,0.9939759036144579,1.0
LIGO,noisy,PM,2,0.1,0.9999999999999999,0.006666666666666667,0.017,0.028333333333333332,83,1500,1666,0.09963985594237695,0.018072289156626505,0.0783132530120482,0.10843373493975904,0.20481927710843373,393.0,166,0.9819277108433735,1.0,1.0,1.0,1.0
