event_name,catalog,gps_trigger_time,ra_median,dec_median,sky_area_90_deg2,network_snr,chirp_mass_median,mass_ratio_median,luminosity_distance_median,p_astro,mass_1_source,mass_2_source,pe_h5_file,sky_area_source,skymap_stats_file
GW150914,GWTC-2.1-confident,1126259462.4,1.9039321141242567,-1.1932736567269964,251.75741602299496,26.0,27.917243197170084,0.8752330444679643,473.32132923733997,1.0,34.6,30.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_skymap_stats.txt
GW151012,GWTC-2.1-confident,1128678900.4,0.00305733556238171,0.0004913429476527398,1694.3723644344432,9.3,15.646179193671978,0.5510006619461427,999.4540744835415,1.0,24.8,13.6,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_skymap_stats.txt
GW151226,GWTC-2.1-confident,1135136350.6,2.811819213103391,-0.034059921500058765,953.4094538511728,12.7,8.854186038895383,0.5269823143040346,460.56402625621223,1.0,14.2,7.5,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_skymap_stats.txt
GW170104,GWTC-2.1-confident,1167559936.6,2.137302528990736,0.7458889499999999,1012.574082852864,13.8,21.060867677700806,0.7288420445406896,1109.7564806977418,1.0,28.7,20.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_skymap_stats.txt
GW170608,GWTC-2.1-confident,1180922494.5,2.0842569247005756,0.587904118659341,378.6558061501853,15.3,7.918776230992843,0.7350688787132685,340.1600318203998,1.0,10.6,7.8,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_skymap_stats.txt
GW170729,GWTC-2.1-confident,1185389807.3,5.311888412015042,-0.8192648250000001,825.6322829295719,10.7,34.554700422266464,0.548781438964822,2492.5092339312814,1.0,54.7,30.2,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_skymap_stats.txt
GW170809,GWTC-2.1-confident,1186302519.8,0.28618243218261297,-0.49337009550471933,261.4237717630942,12.8,24.771789161293327,0.7109752058157812,1065.0009987959606,1.0,34.1,24.2,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_skymap_stats.txt
GW170814,GWTC-2.1-confident,1186741861.5,0.8016140260862878,-0.7905591953377332,92.14285027000736,17.7,24.071366048981155,0.8095456089699533,605.615145,1.0,30.9,24.9,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_skymap_stats.txt
GW170818,GWTC-2.1-confident,1187058327.1,5.95392507142706,0.37393108,34.50179836429673,12.0,26.832438171469274,0.7997014165118077,1081.8038,1.0,34.8,27.6,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_skymap_stats.txt
GW170823,GWTC-2.1-confident,1187529256.5,4.937862666702994,-0.3518324078724533,1783.6733775936964,12.2,28.577186839439175,0.7752898777125923,1969.0308,1.0,38.3,29.0,data/gwtc3_raw/pe_h5_cosmo/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,skymap_stats,data/gwtc3_raw/skymap_stats/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_skymap_stats.txt
